,max_slope_diff_feature,max_zero_crossing,zero_crossing_count,fft_MAX_AMP1,fft_MAX_AMP2,fft_freq_at_AMP1,fft_freq_at_AMP2,MAX_1_Power_PSD,MAX_2_Power_PSD,Freq_MAX_1_Power_PSD,Bandwidth_at_peaks,coefficient_0,coefficient_1,coefficient_2,coefficient_3,coefficient_4,skewness_of_data,kurtosis_of_data,mean_1,mean_2
0,5749.475395120826,3445.4752674476877,7,40.51195893892726,29.344194141531773,308.57144696372006,617.1428939274401,0.1659005941761192,0.13966886172915818,3744.000223159804,288.0000171661386,159.4614320873302,25.07755324993032,22.720956283295642,167.6317925178189,-27.564244502155056,-0.0613993682729402,-1.2063647843305925,191.47027859107635,132.71428571428572
1,5471.998066664174,3456.000302553204,3,69.80554038806847,12.4005816834835,308.571353852767,617.142707705534,2.7048149706630378,1.7314154108209023,3743.999093413573,287.9999302625829,189.63596313488864,-70.62560288605238,-325.98545250503906,246.77339342370198,197.8676671513104,0.15197340595597914,-1.4927217471407719,114.0,127.57142857142857
2,4895.999751091102,3168.000188827526,3,15.404093763189591,14.490098824792389,617.1428939274401,308.57144696372006,0.18394982650673314,0.14328106177532418,3744.000223159804,288.0000171661386,249.12086540465293,-52.37127110487593,-8.22370174902441,178.66474493093457,-29.73505243871205,-0.5276211050917765,0.5489943481553485,238.6,243.28571428571428
3,5759.999232888423,5759.999184608653,8,9.172438998191309,7.997304287296115,925.7143098541675,617.1428732361117,0.04792306827979471,0.04701915513870353,3744.0000976324104,288.00000751018524,113.9843661539529,17.965137390729904,-73.80608382830242,-49.530278587358126,68.7165768544508,0.23370106821987152,-0.41036700303925944,101.06666666666666,103.64285714285714
4,3744.000290751481,2592.000222086926,3,29.68098429702048,25.514011055528105,308.57144696372006,617.1428939274401,0.1472551229823637,0.10584981118452182,3744.000223159804,288.0000171661386,124.90013892265243,7.138927032305457,-26.10084944793786,170.09447654202495,43.237927650756035,0.2819482921140668,-1.0273276272369356,147.46666666666667,103.78571428571429
5,5184.000308990497,2304.0001759529255,1,59.68580902196529,11.61084560211368,308.57144696372006,617.1428939274401,1.993887662238255,1.813902079261757,3744.000223159804,288.0000171661386,194.2471793514203,21.607810556959837,-261.77711632750396,22.452674928681265,155.44694243969514,0.03614607916600867,-0.9546173135340768,149.46666666666667,127.92857142857143
6,11780.251070464295,10211.801760146851,9,52.3824809246442,11.315182449537783,308.571457309385,1542.857286546925,1.5341363055035335,0.9642223808318885,3744.0003486872047,288.0000268220924,305.2433176210633,64.19217635812375,-217.57273174386592,-203.88210329707965,121.81353875928632,-0.3279155678538799,-0.5417538435109788,269.16544194714777,247.92857142857142
7,5760.0003626346825,5760.0003626346825,3,48.53925006775828,2.906222896956478,308.5714366180558,925.7143098541675,1.3289009531122524,0.9073937926781106,3744.0000976324104,288.00000751018524,231.22988706990836,1.106331286313814,-205.7434923901245,-33.85820486427789,112.37057061433894,0.0930694072919075,-1.367341043989361,182.4,188.57142857142858
8,11807.999226451233,10079.99929726157,4,79.18795305577275,54.75069486487691,308.57144696372006,617.1428939274401,2.3149988564482045,0.9266672805726156,3744.000223159804,288.0000171661386,255.8787429047107,-23.659025110035248,-250.17087472994928,449.67475006773907,139.0424120508353,-1.0594499646148392,-0.598981116728484,239.2,164.85714285714286
9,3456.0002059936646,2015.9998884201468,4,30.239697917911517,19.26816958809205,308.5714366180558,617.1428732361117,0.5285139269373816,0.5207388121358658,3744.0000976324104,288.00000751018524,175.81618560191743,-46.1500878406618,-98.50252248681065,170.36862246082117,35.56442084606609,-1.2541050007798742,1.5835582574025509,156.06666666666666,147.57142857142858
